ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,ZCTA,zip_join_type
85285,Tempe,AZ,Post Office or large volume customer,85282,Spatial join to ZCTA
85286,Chandler,AZ,Zip Code Area,85286,Zip Matches ZCTA
85287,Tempe,AZ,Zip Code Area,85281,Spatial join to ZCTA
85295,Gilbert,AZ,Zip Code Area,85295,Zip Matches ZCTA
85296,Gilbert,AZ,Zip Code Area,85296,Zip Matches ZCTA
85297,Gilbert,AZ,Zip Code Area,85297,Zip Matches ZCTA
85298,Gilbert,AZ,Zip Code Area,85298,Zip Matches ZCTA
85299,Gilbert,AZ,Post Office or large volume customer,85296,Spatial join to ZCTA
85301,Glendale,AZ,Zip Code Area,85301,Zip Matches ZCTA
85302,Glendale,AZ,Zip Code Area,85302,Zip Matches ZCTA
85303,Glendale,AZ,Zip Code Area,85303,Zip Matches ZCTA
85304,Glendale,AZ,Zip Code Area,85304,Zip Matches ZCTA
85305,Glendale,AZ,Zip Code Area,85305,Zip Matches ZCTA
85306,Glendale,AZ,Zip Code Area,85306,Zip Matches ZCTA
85307,Glendale,AZ,Zip Code Area,85307,Zip Matches ZCTA
85308,Glendale,AZ,Zip Code Area,85308,Zip Matches ZCTA
85309,Luke Air Force Base,AZ,Zip Code Area,85309,Zip Matches ZCTA
85310,Glendale,AZ,Zip Code Area,85310,Zip Matches ZCTA
85311,Glendale,AZ,Post Office or large volume customer,85301,Spatial join to ZCTA
85312,Glendale,AZ,Post Office or large volume customer,85302,Spatial join to ZCTA
85318,Glendale,AZ,Post Office or large volume customer,85308,Spatial join to ZCTA
85320,Aguila,AZ,Post Office or large volume customer,85320,Zip Matches ZCTA
85321,Ajo,AZ,Zip Code Area,85321,Zip Matches ZCTA
85322,Arlington,AZ,Zip Code Area,85322,Zip Matches ZCTA
85323,Avondale,AZ,Zip Code Area,85323,Zip Matches ZCTA
85324,Black Canyon City,AZ,Zip Code Area,85324,Zip Matches ZCTA
85325,Bouse,AZ,Zip Code Area,85325,Zip Matches ZCTA
85326,Buckeye,AZ,Zip Code Area,85326,Zip Matches ZCTA
85327,Cave Creek,AZ,Post Office or large volume customer,85331,Spatial join to ZCTA
85328,Cibola,AZ,Zip Code Area,85328,Zip Matches ZCTA
85329,Cashion,AZ,Post Office or large volume customer,85323,Spatial join to ZCTA
85331,Cave Creek,AZ,Zip Code Area,85331,Zip Matches ZCTA
85332,Congress,AZ,Zip Code Area,85332,Zip Matches ZCTA
85333,Dateland,AZ,Zip Code Area,85333,Zip Matches ZCTA
85334,Ehrenberg,AZ,Post Office or large volume customer,85334,Zip Matches ZCTA
85335,El Mirage,AZ,Zip Code Area,85335,Zip Matches ZCTA
85336,Gadsden,AZ,Post Office or large volume customer,85336,Zip Matches ZCTA
85337,Gila Bend,AZ,Zip Code Area,85337,Zip Matches ZCTA
85338,Goodyear,AZ,Zip Code Area,85338,Zip Matches ZCTA
85339,Laveen,AZ,Zip Code Area,85339,Zip Matches ZCTA
85340,Litchfield Park,AZ,Zip Code Area,85340,Zip Matches ZCTA
85341,Lukeville,AZ,Zip Code Area,85321,Zip manually moved for population
85342,Morristown,AZ,Zip Code Area,85342,Zip Matches ZCTA
85343,Palo Verde,AZ,Zip Code Area,85343,Zip Matches ZCTA
85344,Parker,AZ,Zip Code Area,85344,Zip Matches ZCTA
85345,Peoria,AZ,Zip Code Area,85345,Zip Matches ZCTA
85346,Quartzsite,AZ,Zip Code Area,85346,Zip Matches ZCTA
85347,Roll,AZ,Zip Code Area,85347,Zip Matches ZCTA
85348,Salome,AZ,Zip Code Area,85348,Zip Matches ZCTA
85349,San Luis,AZ,Zip Code Area,85349,Zip Matches ZCTA
85350,Somerton,AZ,Zip Code Area,85350,Zip Matches ZCTA
85351,Sun City,AZ,Zip Code Area,85351,Zip Matches ZCTA
85352,Tacna,AZ,Post Office or large volume customer,85352,Zip Matches ZCTA
85353,Tolleson,AZ,Zip Code Area,85353,Zip Matches ZCTA
85354,Tonopah,AZ,Zip Code Area,85354,Zip Matches ZCTA
85355,Waddell,AZ,Zip Code Area,85355,Zip Matches ZCTA
85356,Wellton,AZ,Zip Code Area,85356,Zip Matches ZCTA
85357,Wenden,AZ,Post Office or large volume customer,85357,Zip Matches ZCTA
85358,Wickenburg,AZ,Post Office or large volume customer,85390,Spatial join to ZCTA
85359,Quartzsite,AZ,Post Office or large volume customer,85346,Spatial join to ZCTA
85360,Wikieup,AZ,Post Office or large volume customer,85360,Zip Matches ZCTA
85361,Wittmann,AZ,Zip Code Area,85361,Zip Matches ZCTA
85362,Yarnell,AZ,Zip Code Area,85362,Zip Matches ZCTA
85363,Youngtown,AZ,Zip Code Area,85363,Zip Matches ZCTA
85364,Yuma,AZ,Zip Code Area,85364,Zip Matches ZCTA
85365,Yuma,AZ,Zip Code Area,85365,Zip Matches ZCTA
85366,Yuma,AZ,Post Office or large volume customer,85364,Spatial join to ZCTA
85367,Yuma,AZ,Zip Code Area,85367,Zip Matches ZCTA
85369,Yuma,AZ,Post Office or large volume customer,85364,Spatial join to ZCTA
85371,Poston,AZ,Post Office or large volume customer,85371,Zip Matches ZCTA
85372,Sun City,AZ,Post Office or large volume customer,85373,Spatial join to ZCTA
85373,Sun City,AZ,Zip Code Area,85373,Zip Matches ZCTA
85374,Surprise,AZ,Zip Code Area,85374,Zip Matches ZCTA
85375,Sun City West,AZ,Zip Code Area,85375,Zip Matches ZCTA
85376,Sun City West,AZ,Post Office or large volume customer,85375,Spatial join to ZCTA
85377,Carefree,AZ,Zip Code Area,85377,Zip Matches ZCTA
85378,Surprise,AZ,Zip Code Area,85374,Spatial join to ZCTA
85379,Surprise,AZ,Zip Code Area,85379,Zip Matches ZCTA
85380,Peoria,AZ,Post Office or large volume customer,85345,Spatial join to ZCTA
85381,Peoria,AZ,Zip Code Area,85381,Zip Matches ZCTA
85382,Peoria,AZ,Zip Code Area,85382,Zip Matches ZCTA
85383,Peoria,AZ,Zip Code Area,85383,Zip Matches ZCTA
85385,Peoria,AZ,Post Office or large volume customer,85381,Spatial join to ZCTA
85387,Surprise,AZ,Zip Code Area,85387,Zip Matches ZCTA
85388,Surprise,AZ,Zip Code Area,85388,Zip Matches ZCTA
85390,Wickenburg,AZ,Zip Code Area,85390,Zip Matches ZCTA
85392,Avondale,AZ,Zip Code Area,85392,Zip Matches ZCTA
85395,Goodyear,AZ,Zip Code Area,85395,Zip Matches ZCTA
85396,Buckeye,AZ,Zip Code Area,85396,Zip Matches ZCTA
85501,Globe,AZ,Zip Code Area,85501,Zip Matches ZCTA
85502,Globe,AZ,Post Office or large volume customer,85501,Spatial join to ZCTA
85530,Bylas,AZ,Zip Code Area,85530,Zip Matches ZCTA
85531,Central,AZ,Post Office or large volume customer,85531,Zip Matches ZCTA
85532,Claypool,AZ,Post Office or large volume customer,85539,Spatial join to ZCTA
85533,Clifton,AZ,Zip Code Area,85533,Zip Matches ZCTA
85534,Duncan,AZ,Zip Code Area,85534,Zip Matches ZCTA
85535,Eden,AZ,Zip Code Area,85535,Zip Matches ZCTA
85536,Fort Thomas,AZ,Post Office or large volume customer,85536,Zip Matches ZCTA
85539,Miami,AZ,Zip Code Area,85539,Zip Matches ZCTA
85540,Morenci,AZ,Zip Code Area,85540,Zip Matches ZCTA
85541,Payson,AZ,Zip Code Area,85541,Zip Matches ZCTA
85542,Peridot,AZ,Zip Code Area,85542,Zip Matches ZCTA
85543,Pima,AZ,Zip Code Area,85543,Zip Matches ZCTA
85544,Pine,AZ,Zip Code Area,85544,Zip Matches ZCTA
85545,Roosevelt,AZ,Zip Code Area,85545,Zip Matches ZCTA
85546,Safford,AZ,Zip Code Area,85546,Zip Matches ZCTA
85547,Payson,AZ,Post Office or large volume customer,85541,Spatial join to ZCTA
85548,Safford,AZ,Post Office or large volume customer,85546,Spatial join to ZCTA
85550,San Carlos,AZ,Zip Code Area,85550,Zip Matches ZCTA
85551,Solomon,AZ,Post Office or large volume customer,85551,Zip Matches ZCTA
85552,Thatcher,AZ,Zip Code Area,85552,Zip Matches ZCTA
85553,Tonto Basin,AZ,Zip Code Area,85553,Zip Matches ZCTA
85554,Young,AZ,Zip Code Area,85554,Zip Matches ZCTA
85601,Arivaca,AZ,Zip Code Area,85601,Zip Matches ZCTA
85602,Benson,AZ,Zip Code Area,85602,Zip Matches ZCTA
85603,Bisbee,AZ,Zip Code Area,85603,Zip Matches ZCTA
85605,Bowie,AZ,Zip Code Area,85605,Zip Matches ZCTA
85606,Cochise,AZ,Zip Code Area,85606,Zip Matches ZCTA
85607,Douglas,AZ,Zip Code Area,85607,Zip Matches ZCTA
85608,Douglas,AZ,Post Office or large volume customer,85608,Zip Matches ZCTA
85609,Dragoon,AZ,Zip Code Area,85609,Zip Matches ZCTA
85610,Elfrida,AZ,Zip Code Area,85610,Zip Matches ZCTA
85611,Elgin,AZ,Zip Code Area,85611,Zip Matches ZCTA
85613,Fort Huachuca,AZ,Zip Code Area,85613,Zip Matches ZCTA
85614,Green Valley,AZ,Zip Code Area,85614,Zip Matches ZCTA
85615,Hereford,AZ,Zip Code Area,85615,Zip Matches ZCTA
85616,Huachuca City,AZ,Zip Code Area,85616,Zip Matches ZCTA
85617,Mc Neal,AZ,Zip Code Area,85617,Zip Matches ZCTA
85618,Mammoth,AZ,Zip Code Area,85618,Zip Matches ZCTA
85619,Mount Lemmon,AZ,Zip Code Area,85619,Zip Matches ZCTA
85620,Naco,AZ,Post Office or large volume customer,85620,Zip Matches ZCTA
85621,Nogales,AZ,Zip Code Area,85621,Zip Matches ZCTA
85622,Green Valley,AZ,Zip Code Area,85622,Zip Matches ZCTA
85623,Oracle,AZ,Zip Code Area,85623,Zip Matches ZCTA
85624,Patagonia,AZ,Zip Code Area,85624,Zip Matches ZCTA
85625,Pearce,AZ,Zip Code Area,85625,Zip Matches ZCTA
85626,Pirtleville,AZ,Post Office or large volume customer,85626,Zip Matches ZCTA
85627,Pomerene,AZ,Post Office or large volume customer,85627,Zip Matches ZCTA
85628,Nogales,AZ,Post Office or large volume customer,85621,Spatial join to ZCTA
85629,Sahuarita,AZ,Zip Code Area,85629,Zip Matches ZCTA
85630,Saint David,AZ,Zip Code Area,85630,Zip Matches ZCTA
85631,San Manuel,AZ,Zip Code Area,85631,Zip Matches ZCTA
85632,San Simon,AZ,Zip Code Area,85632,Zip Matches ZCTA
