name,contributor_zip,total_raised
ERICA FOR US,20772,5
ERICA FOR US,20774,3
ERICA FOR US,20814,20
ERICA FOR US,20852,2.5
ERICA FOR US,20854,20
ERICA FOR US,20902,50
ERICA FOR US,20912,125
ERICA FOR US,21044,20
ERICA FOR US,21212,100
ERICA FOR US,21218,2.5
ERICA FOR US,22304,10
ERICA FOR US,22311,100
ERICA FOR US,22315,100
ERICA FOR US,22503,12.5
ERICA FOR US,23221,25
ERICA FOR US,23322,70
ERICA FOR US,23664,100
ERICA FOR US,23669,2800
ERICA FOR US,23701,50
ERICA FOR US,23805,100
ERICA FOR US,23832,1300
ERICA FOR US,23847,55
ERICA FOR US,24092,6.25
ERICA FOR US,26166,1500
ERICA FOR US,27012,65
ERICA FOR US,27013,10
ERICA FOR US,27040,50
ERICA FOR US,27101,25
ERICA FOR US,27103,200
ERICA FOR US,27104,151.5
ERICA FOR US,27106,147.5
ERICA FOR US,27107,20.2
ERICA FOR US,27215,175
ERICA FOR US,27217,20
ERICA FOR US,27265,50
ERICA FOR US,27278,52
ERICA FOR US,27282,160
ERICA FOR US,27302,45
ERICA FOR US,27312,130
ERICA FOR US,27344,60
ERICA FOR US,27360,20
ERICA FOR US,27377,90
ERICA FOR US,27403,50
ERICA FOR US,27406,50
ERICA FOR US,27407,10
ERICA FOR US,27409,18.37
ERICA FOR US,27410,50
ERICA FOR US,27455,100
ERICA FOR US,27466,100
ERICA FOR US,27502,635
ERICA FOR US,27510,372
ERICA FOR US,27511,35
ERICA FOR US,27513,172.65
ERICA FOR US,27514,275
ERICA FOR US,27516,365
ERICA FOR US,27517,1928
ERICA FOR US,27518,89
ERICA FOR US,27519,145
ERICA FOR US,27520,30
ERICA FOR US,27523,205
ERICA FOR US,27526,167.5
ERICA FOR US,27527,175
ERICA FOR US,27529,160
ERICA FOR US,27530,25
ERICA FOR US,27534,210
ERICA FOR US,27536,3750
ERICA FOR US,27537,95
ERICA FOR US,27539,45
ERICA FOR US,27540,130
ERICA FOR US,27545,25
ERICA FOR US,27546,25
ERICA FOR US,27549,10
